Date,PRCP,Snow,Tmax,Tmin,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,Year,Day_of_Week,Opponent,Win,Lost,Attendance,GameBehind
10/29/2014,0.02,0,74,52,99,5.6,6.3,99,99,99,999,1018,26.5,27.2,999,99,99,2014,Mon,Brooklyn,1,0,18624,-1
10/28/2015,0.36,0,65,42,173,6.7,7.4,99,99,99,999,1014,26.7,27.6,999,99,99,2015,Sun,Philadelphia,1,0,18624,-1
10/30/2015,0,0,61,42,165,2.1,2.4,99,99,99,999,1015,26.8,27.8,999,99,99,2015,Tue,Toronto,1,1,16898,0
11/1/2013,0.03,0,72,60,144,4.4,5,99,99,99,999,1015,27.1,27.6,999,99,99,2013,Thu,Milwaukee,0,2,18624,2
11/6/2015,0,0,73,62,84,7.1,7.8,99,99,99,999,1018,27.2,27.9,999,99,99,2015,Fri,Washington,2,3,18624,1
10/18/2017,0,0,72,47,55,4.1,4.8,99,99,99,999,1016,27.3,28.8,999,99,99,2017,Thu,MilwaukeeMilwaukee,0,2,18624,2
11/1/2015,0,0,62,48,103,5.8,6.3,99,99,99,999,1016,27.4,28.1,999,99,99,2015,Thu,San Antonio,1,2,17461,1
11/13/2015,0.01,0,59,46,96,3.1,3.6,99,99,99,999,1015,27.5,28,999,99,99,2015,Tue,Atlanta,4,4,17138,0
11/4/2015,0,0,60,49,86,6.7,7.3,99,99,99,999,1017,27.7,28.1,999,99,99,2015,Sun,Indiana,3,4,17879,1
10/24/2017,0.07,0,75,62,160,5.6,11,99,99,99,999,1014,27.9,77.1,999,99,99,2017,Wed,New YorkNew York,2,2,18624,0
11/20/2015,0.86,0,61,44,119,4,8.7,99,99,99,999,1424,29.8,30.5,999,99,99,2015,Tue,Brooklyn,7,5,18361,-2
11/18/2015,0,0,48,31,110,10.3,15.1,99,99,99,999,1389,30.1,30.2,999,99,99,2015,Sun,Dallas,6,5,17262,-1
12/11/2015,0,0,58,43,188,7.7,19.9,99,99,99,999,2139,30.7,35.2,999,99,99,2015,Tue,Golden State,13,10,18624,-3
12/15/2015,0.19,0,61,48,157,3.7,24.5,99,99,99,999,2938,31.3,42,999,99,99,2015,Sat,Cleveland,14,11,18624,-3
12/18/2015,0.04,0,52,39,194,10.2,32.6,99,99,99,999,3129,34.8,43.4,999,99,99,2015,Tue,Atlanta,14,13,18624,-1
12/21/2015,0,0,53,32,150,16.5,52.1,99,99,99,999,3415,40,40.3,999,99,99,2015,Fri,Minnesota,15,13,18624,-2
1/6/2016,0,0,45,21,59,16.8,18.4,99,99,99,999,1391,62.5,65.6,999,99,99,2016,Sat,Detroit,19,16,18624,-3
3/15/2017,0,0,28,19,220,12.3,17.6,99,99,99,999,1836,63,112.7,999,99,99,2017,Thu,Minnesota,43,25,18624,-18
4/11/2016,0.01,0,60,42,89,8.3,9.2,99,99,99,999,1021,64.5,25.1,999,99,99,2016,Wed,Charlotte,47,34,18624,-13
1/15/2016,0,0,42,26,173,11.9,20.8,99,99,99,999,1403,66.1,67.8,999,99,99,2016,Mon,Phoenix,21,19,18624,-2
11/30/2017,0,0,45,30,92,12.8,13.8,99,99,99,999,1407,67.6,68,999,99,99,2017,Fri,PhiladelphiaPhiladelphia,19,4,18624,-15
11/25/2016,0.03,0,48,39,87,8.5,17.4,99,99,99,999,1411,67.7,68.6,999,99,99,2016,Sun,San Antonio,9,7,18624,-2
11/30/2016,0.91,0,52,42,133,9.7,18.3,99,99,99,999,1797,68.1,110.7,999,99,99,2016,Fri,Detroit,10,8,17338,-2
4/12/2017,0.02,0,60,48,78,8.7,13.8,99,99,99,999,1427,68.6,69.7,999,99,99,2017,Thu,Milwaukee,53,29,18624,-24
