Date,PRCP,Snow,Tmax,Tmin,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,Year,Day_of_Week,Opponent,Win,Lost,Attendance,GameBehind
1/3/2014,0.19,4.5,14,2,175,8.1,9,99,99,99,999,1016,21.8,25.5,999,99,99,2014,Wed,New Orleans,13,20,18264,7
2/29/2016,0,0,64,43,107,5.6,6.3,99,99,99,999,1021,21.9,23.8,999,99,99,2016,Mon,Utah,36,25,17680,-11
11/12/2014,0,0,60,46,222,5.7,6.3,99,99,99,999,1015,22.2,26,999,99,99,2014,Mon,Oklahoma City,3,4,17043,1
1/11/2017,0.09,0,55,39,95,10.3,11.5,99,99,99,999,1025,22.2,24.2,999,99,99,2017,Thu,Washington,24,15,18624,-9
2/4/2015,0.01,0,38,14,92,7.9,8.9,99,99,99,999,1020,22.5,24.7,999,99,99,2015,Sun,Denver,18,30,15126,12
12/18/2013,0,0,36,19,28,8.1,9.1,99,99,99,999,1021,22.6,25.2,999,99,99,2013,Tue,Detroit,12,15,17101,3
1/14/2015,0,0,25,14,174,3.5,3.9,99,99,99,999,1017,22.6,25,999,99,99,2015,Sun,Atlanta,13,24,16067,11
11/7/2012,0.33,0.1,45,32,299,6.3,7.3,99,99,99,999,1387,22.7,27,999,99,99,2012,Wed,Washington,2,2,18624,0
4/5/2013,0,0,57,38,187,5.7,6.2,99,99,99,999,1014,22.7,23.4,999,99,99,2013,Thu,Cleveland,39,37,18624,-2
11/29/2013,0,0,35,23,46,10.2,11.4,99,99,99,999,1022,22.7,25.2,999,99,99,2013,Thu,Cleveland,7,11,17685,4
2/25/2015,0.07,1.9,35,14,244,2.5,2.8,99,99,99,999,1015,22.7,23.5,999,99,99,2015,Sun,New York,22,33,16899,11
12/21/2012,0.65,0,52,38,278,7.7,8.7,99,99,99,999,1017,22.8,25.8,999,99,99,2012,Fri,Milwaukee,13,13,18624,0
3/2/2016,0.37,0,53,25,93,2.3,2.6,99,99,99,999,1019,22.8,23.9,999,99,99,2016,Fri,Portland,37,25,18624,-12
12/16/2013,0,0,30,20,167,5.9,6.6,99,99,99,999,1018,22.9,25.9,999,99,99,2013,Sun,Minnesota,12,14,17071,2
1/22/2016,0,0,32,19,169,11.2,16.2,99,99,99,999,1388,22.9,65,999,99,99,2016,Mon,Chicago,23,21,18624,-2
4/1/2015,0,0,47,30,125,3.9,4.4,99,99,99,999,1020,23,24.6,999,99,99,2015,Sun,Indiana,34,41,18624,7
2/10/2013,0,0,36,15,95,8.7,9.7,99,99,99,999,1022,23.1,24.1,999,99,99,2013,Sat,Denver,27,23,18624,-4
12/3/2013,0,0,49,36,214,3.7,4.4,99,99,99,999,1014,23.1,26.3,999,99,99,2013,Mon,Milwaukee,8,12,16649,4
1/15/2014,0,0,48,35,265,5.5,6.1,99,99,99,999,1016,23.1,25,999,99,99,2014,Mon,Toronto,14,26,17569,12
2/9/2014,0.03,0.3,30,21,211,2.5,2.9,99,99,99,999,1017,23.1,25.6,999,99,99,2014,Fri,Dallas,18,34,17650,16
3/19/2014,0,0,41,27,155,3.5,3.8,99,99,99,999,1017,23.1,24.1,999,99,99,2014,Mon,Miami,23,46,18624,23
12/7/2014,0.13,0,38,21,205,4.6,5.1,99,99,99,999,1018,23.1,24.6,999,99,99,2014,Fri,Washington,7,11,16716,4
2/7/2013,0,0,30,18,116,5.2,5.8,99,99,99,999,1018,23.2,24.3,999,99,99,2013,Wed,Los Angeles,26,23,18624,-3
11/30/2014,0,0,57,32,73,11,12.2,99,99,99,999,1022,23.2,24.4,999,99,99,2014,Fri,San Antonio,4,10,17121,6
11/2/2012,0.03,0,52,45,296,3.7,4.3,99,99,99,999,1018,23.3,27.1,999,99,99,2012,Fri,Milwaukee,0,2,18624,2
3/18/2013,0.12,0.9,33,21,154,7.3,8,99,99,99,999,1017,23.3,23.8,999,99,99,2013,Sun,Miami,36,30,18624,-6
12/31/2013,0,0,26,14,71,7,7.7,99,99,99,999,1020,23.3,26,999,99,99,2013,Mon,Atlanta,13,18,18264,5
2/27/2015,0,0,27,15,152,4,4.4,99,99,99,999,1017,23.3,23.1,999,99,99,2015,Tue,Charlotte,23,33,18624,10
3/9/2016,0,0,77,40,127,10.3,11.5,99,99,99,999,1022,23.3,23.3,999,99,99,2016,Fri,Memphis,39,26,17790,-13
3/7/2014,0,0,34,16,270,10.8,12.1,99,99,99,999,1012,23.4,24.5,999,99,99,2014,Wed,Brooklyn,21,41,18195,20
3/30/2014,2.23,0,43,36,234,4.8,5.3,99,99,99,999,1016,23.4,23.9,999,99,99,2014,Fri,Chicago,23,50,18624,27
11/17/2012,0,0,47,36,63,6.6,7.4,99,99,99,999,1017,23.5,26.1,999,99,99,2012,Sat,Toronto,6,4,18624,-2
11/30/2012,0,0,38,30,78,11,12.3,99,99,99,999,1020,23.5,25.3,999,99,99,2012,Fri,Portland,9,7,18624,-2
4/7/2013,0,0,54,32,87,7.5,8.3,99,99,99,999,1018,23.5,23.3,999,99,99,2013,Sat,Washington,40,37,18624,-3
11/28/2012,0,0,36,32,93,3.4,4,99,99,99,999,1021,23.6,25.7,999,99,99,2012,Wed,Brooklyn,8,7,18624,-1
1/27/2013,0,0,32,14,73,7.9,8.7,99,99,99,999,1023,23.6,24.6,999,99,99,2013,Sat,Miami,21,23,18624,2
2/26/2014,0,0,32,16,244,4.1,4.8,99,99,99,999,1013,23.6,25.7,999,99,99,2014,Mon,Atlanta,20,39,16605,19
4/11/2014,0,0,69,48,93,5.3,5.9,99,99,99,999,1022,23.6,24.6,999,99,99,2014,Wed,Charlotte,24,55,18624,31
11/7/2014,0,0,49,39,248,3,3.4,99,99,99,999,1015,23.6,26.2,999,99,99,2014,Wed,Indiana,2,3,17122,1
