,YYYY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
1,2016,1,1,0,0,102,5.2,6,99,99,99,999,1019.4,26.4,26.7,999,99,99
2,2016,1,1,1,0,103,6,6.5,99,99,99,999,1019.6,26.4,26.7,999,99,99
3,2016,1,1,2,0,99,5.8,6.2,99,99,99,999,1019.7,26.4,26.7,999,99,99
4,2016,1,1,3,0,107,5.9,6.4,99,99,99,999,1019.9,26.4,26.6,999,99,99
5,2016,1,1,4,0,98,5.5,5.9,99,99,99,999,1019.8,26.3,26.7,999,99,99
6,2016,1,1,5,0,100,6.6,7.2,99,99,99,999,1019,26.2,26.6,999,99,99
7,2016,1,1,6,0,116,7.1,7.7,99,99,99,999,1018.6,26.2,26.6,999,99,99
8,2016,1,1,7,0,110,5.7,6.5,99,99,99,999,1018.4,26.3,26.6,999,99,99
9,2016,1,1,8,0,114,5.3,6,99,99,99,999,1018.1,26.1,26.6,999,99,99
10,2016,1,1,9,0,114,6.1,99,99,99,99,999,9999,26,999,999,99,99
11,2016,1,1,10,0,118,4.9,5.5,99,99,99,999,1018.1,26.1,26.6,999,99,99
12,2016,1,1,11,0,130,5,6.5,99,99,99,999,1018.2,26,26.6,999,99,99
13,2016,1,1,12,0,131,6,6.8,99,99,99,999,1018.9,26,26.5,999,99,99
14,2016,1,1,13,0,149,6.2,6.8,99,99,99,999,1019.4,26.1,26.5,999,99,99
15,2016,1,1,14,0,148,5.5,6.3,99,99,99,999,1020,26.4,26.5,999,99,99
16,2016,1,1,15,0,138,6.1,6.7,99,99,99,999,1020.2,26.4,26.5,999,99,99
17,2016,1,1,16,0,143,5.7,6.4,99,99,99,999,1019.9,26.3,26.4,999,99,99
18,2016,1,1,17,0,147,4.2,4.9,99,99,99,999,1019.3,26.3,26.5,999,99,99
19,2016,1,1,18,0,148,4.8,5.5,99,99,99,999,1018.4,26.3,26.5,999,99,99
20,2016,1,1,19,0,156,4.9,5.3,99,99,99,999,1017.8,26.3,26.6,999,99,99
21,2016,1,1,20,0,150,4.5,4.9,99,99,99,999,1017.4,26.4,26.6,999,99,99
22,2016,1,1,21,0,168,2.6,3.1,99,99,99,999,1017.5,26.4,26.8,999,99,99
23,2016,1,1,22,0,208,2.1,2.3,99,99,99,999,1017.7,26.3,26.8,999,99,99
24,2016,1,1,23,0,198,0.9,2.4,99,99,99,999,1017.9,26.1,26.8,999,99,99
25,2016,1,2,0,0,165,3,3.5,99,99,99,999,1017.9,26.1,26.8,999,99,99
26,2016,1,2,1,0,175,2.7,3.6,99,99,99,999,1018.4,26,26.8,999,99,99
27,2016,1,2,2,0,170,2.2,2.7,99,99,99,999,1018.6,25.9,26.8,999,99,99
28,2016,1,2,3,0,157,2.3,2.6,99,99,99,999,1018.9,25.8,26.8,999,99,99
29,2016,1,2,4,0,194,2,2.5,99,99,99,999,1018.8,25.7,26.7,999,99,99
30,2016,1,2,5,0,300,0.4,1,99,99,99,999,1018.3,25.8,26.7,999,99,99
31,2016,1,2,6,0,334,0.5,0.9,99,99,99,999,1018.1,25.7,26.7,999,99,99
32,2016,1,2,7,0,0,0,0,99,99,99,999,1017.7,25.5,26.7,999,99,99
33,2016,1,2,8,0,312,0.2,0.4,99,99,99,999,1017.3,25.3,26.7,999,99,99
34,2016,1,2,9,0,357,1.5,1.8,99,99,99,999,1017.1,25.2,26.7,999,99,99
35,2016,1,2,11,0,29,1.3,1.8,99,99,99,999,1017,24.9,26.6,999,99,99
36,2016,1,2,12,0,23,2.2,2.4,99,99,99,999,1017.5,25,26.6,999,99,99
37,2016,1,2,13,0,351,2.5,2.9,99,99,99,999,1018.2,24.7,26.6,999,99,99
38,2016,1,2,14,0,9,3.2,3.7,99,99,99,999,1018.8,24.3,26.6,999,99,99
39,2016,1,2,15,0,4,2.4,2.7,99,99,99,999,1019,24.8,26.6,999,99,99
40,2016,1,2,16,0,5,1.8,2.1,99,99,99,999,1018.7,25.1,26.7,999,99,99
41,2016,1,2,17,0,4,1.9,2.2,99,99,99,999,1017.8,25.2,26.8,999,99,99
42,2016,1,2,18,0,40,2.6,2.9,99,99,99,999,1016.8,25.2,26.8,999,99,99
43,2016,1,2,19,0,60,1.9,2.3,99,99,99,999,1016.1,25.3,26.8,999,99,99
44,2016,1,2,20,0,89,2.5,2.8,99,99,99,999,1015.4,25.4,26.7,999,99,99
45,2016,1,2,21,0,75,1.6,2,99,99,99,999,1015.3,25.6,26.7,999,99,99
46,2016,1,2,23,0,76,1.5,2.5,99,99,99,999,1015.4,25.6,26.9,999,99,99
47,2016,1,3,1,0,70,3.2,3.9,99,99,99,999,1016,25.7,26.9,999,99,99
48,2016,1,3,2,0,57,2,3.4,99,99,99,999,1016.1,999,27,999,99,99
49,2016,1,3,3,0,73,2.6,3.1,99,99,99,999,1016.1,25.7,27,999,99,99
50,2016,1,3,5,0,103,1.8,2,99,99,99,999,1015.6,25.7,27,999,99,99
51,2016,1,3,6,0,99,0.8,1,99,99,99,999,1015.1,25.6,27,999,99,99
52,2016,1,3,8,0,351,3.7,4.2,99,99,99,999,1014.4,23.7,27,999,99,99
53,2016,1,3,9,0,350,3.6,4,99,99,99,999,1014.5,23.3,26.9,999,99,99
54,2016,1,3,10,0,999,99,4.4,99,99,99,999,9999,999,999,999,99,99
55,2016,1,3,11,0,43,1.8,99,99,99,99,999,1014.3,24,999,999,99,99
56,2016,1,3,14,0,2,6.1,6.5,99,99,99,999,1015.5,23.2,26.9,999,99,99
57,2016,1,3,15,0,15,5.6,6.4,99,99,99,999,1016,22.3,26.9,999,99,99
58,2016,1,3,16,0,29,4.8,5.1,99,99,99,999,1015.4,23.4,26.9,999,99,99
59,2016,1,3,17,0,50,4.8,5.3,99,99,99,999,1014.6,23.9,27.1,999,99,99
60,2016,1,3,18,0,26,4.4,4.7,99,99,99,999,1013.1,24.2,27.1,999,99,99
61,2016,1,3,19,0,40,4.1,4.5,99,99,99,999,1012.3,24.1,27.1,999,99,99
62,2016,1,3,21,0,359,3.3,3.7,99,99,99,999,1011.8,23.4,26.9,999,99,99
63,2016,1,3,23,0,10,1.2,99,99,99,99,999,9999,24.2,999,999,99,99
64,2016,1,4,0,0,0,0,99,99,99,99,999,1012.3,24.4,999,999,99,99
65,2016,1,4,1,0,288,0.5,1.2,99,99,99,999,1012.4,24.7,26.7,999,99,99
66,2016,1,4,4,0,1,8,9,99,99,99,999,1012.9,20.8,26.6,999,99,99
67,2016,1,4,5,0,13,10.4,11.7,99,99,99,999,1012.4,20.2,26.6,999,99,99
68,2016,1,4,6,0,23,8.7,9.6,99,99,99,999,1012.3,20.5,26.6,999,99,99
69,2016,1,4,7,0,359,5.8,6.4,99,99,99,999,1011.3,20.4,26.5,999,99,99
70,2016,1,4,8,0,339,3.5,4.1,99,99,99,999,1011.6,21.1,26.3,999,99,99
71,2016,1,4,9,0,344,3.4,4.5,99,99,99,999,1011.7,20.2,26.2,999,99,99
72,2016,1,4,10,0,325,4.7,5.6,99,99,99,999,1012,19.7,26.4,999,99,99
73,2016,1,4,11,0,315,7.6,8.1,99,99,99,999,1012.8,19.2,26.5,999,99,99
74,2016,1,4,12,0,344,7.8,8.3,99,99,99,999,1013.5,18.7,26.5,999,99,99
75,2016,1,4,13,0,357,5.2,6,99,99,99,999,1014,18.4,26.5,999,99,99
76,2016,1,4,14,0,354,5.9,6.8,99,99,99,999,1014.7,18.8,26.5,999,99,99
77,2016,1,4,15,0,352,6.5,7.5,99,99,99,999,1015.1,18.4,26.4,999,99,99
78,2016,1,4,16,0,349,7.7,9.2,99,99,99,999,1015.3,18.1,26.4,999,99,99
79,2016,1,4,17,0,344,6.6,7.2,99,99,99,999,1015.1,18.4,26.3,999,99,99
80,2016,1,4,18,0,348,7.1,8,99,99,99,999,1014.3,19.2,26.3,999,99,99
81,2016,1,4,19,0,1,6.9,7.9,99,99,99,999,1014,19.2,26.3,999,99,99
82,2016,1,4,20,0,6,5.4,6.4,99,99,99,999,1013.9,19.3,26.2,999,99,99
83,2016,1,4,21,0,4,5.5,6.6,99,99,99,999,1014.2,20,26.3,999,99,99
84,2016,1,4,22,0,3,6.2,7.1,99,99,99,999,1014.2,20.1,26.2,999,99,99
85,2016,1,4,23,0,2,6.9,8.1,99,99,99,999,1015,20.3,26.1,999,99,99
86,2016,1,5,0,0,357,7.5,8.2,99,99,99,999,1015.5,20.3,26.1,999,99,99
87,2016,1,5,1,0,5,9.2,10.2,99,99,99,999,1015.9,20.3,26,999,99,99
88,2016,1,5,2,0,4,8.6,9.8,99,99,99,999,1016.3,19.6,25.7,999,99,99
89,2016,1,5,3,0,0,8.8,9.7,99,99,99,999,1016.8,19.3,25.5,999,99,99
90,2016,1,5,4,0,359,8.6,9.6,99,99,99,999,1017.1,19.4,25.4,999,99,99
91,2016,1,5,5,0,9,10,11.3,99,99,99,999,1016.8,19.1,25.6,999,99,99
92,2016,1,5,6,0,3,11.1,12.3,99,99,99,999,1016.7,18.7,25.7,999,99,99
93,2016,1,5,7,0,16,9.2,10.8,99,99,99,999,1016.2,18.8,25.7,999,99,99
94,2016,1,5,8,0,8,9.7,10.5,99,99,99,999,1015.6,18.5,25,999,99,99
95,2016,1,5,9,0,356,10,11.5,99,99,99,999,1016.2,18.6,25,999,99,99
96,2016,1,5,10,0,353,11.8,12.5,99,99,99,999,1016.2,17.8,25.2,999,99,99
97,2016,1,5,11,0,359,9.1,10,99,99,99,999,1017.2,18,25.5,999,99,99
98,2016,1,5,12,0,6,8.6,9.4,99,99,99,999,1018.1,18.3,25.6,999,99,99
99,2016,1,5,13,0,5,6.1,6.7,99,99,99,999,1019,18.4,25.7,999,99,99
100,2016,1,5,14,0,356,7.1,7.8,99,99,99,999,1019.4,17.7,25.7,999,99,99
101,2016,1,5,15,0,356,4.4,5.2,99,99,99,999,1019.6,18.8,25.7,999,99,99
102,2016,1,5,16,0,75,10.5,11.5,99,99,99,999,1019.2,23,26,999,99,99
103,2016,1,5,17,0,69,11.5,12.7,99,99,99,999,1018.9,22.8,26.1,999,99,99
104,2016,1,5,18,0,61,13.8,15.7,99,99,99,999,1018,21.3,26.2,999,99,99
105,2016,1,5,19,0,66,11.3,13,99,99,99,999,1017.5,21.4,26.2,999,99,99
106,2016,1,5,20,0,56,15.8,17.5,99,99,99,999,1016.3,22.2,26.3,999,99,99
107,2016,1,5,21,0,49,15,17.7,99,99,99,999,1016.5,22.3,26.2,999,99,99
108,2016,1,5,22,0,48,16.2,18.1,99,99,99,999,1017.2,22.1,26.2,999,99,99
109,2016,1,5,23,0,51,16.2,19,99,99,99,999,1017.3,22.1,26.1,999,99,99
110,2016,1,6,0,0,52,15.2,17.5,99,99,99,999,1017.6,22.2,26.1,999,99,99
111,2016,1,6,1,0,52,15.6,17.5,99,99,99,999,1017.7,22.5,25.7,999,99,99
112,2016,1,6,2,0,55,15.8,17.8,99,99,99,999,1018,22.6,25.2,999,99,99
113,2016,1,6,3,0,58,13.8,15.9,99,99,99,999,1018,22.1,25.1,999,99,99
114,2016,1,6,4,0,64,99,99,99,99,99,999,9999,999,999,999,99,99
115,2016,1,6,5,0,66,13.1,14.1,99,99,99,999,1018.6,20.5,24.4,999,99,99
116,2016,1,6,6,0,63,13.8,15.4,99,99,99,999,1017.7,21.6,24.5,999,99,99
117,2016,1,6,7,0,65,12.9,14,99,99,99,999,1016.9,22.2,25,999,99,99
118,2016,1,6,8,0,64,13.2,14.5,99,99,99,999,1017,21.5,24.9,999,99,99
119,2016,1,6,9,0,62,12.6,14,99,99,99,999,1016.5,21.2,24.1,999,99,99
120,2016,1,6,10,0,52,14.2,15.4,99,99,99,999,1015.8,20.7,24.5,999,99,99
121,2016,1,6,11,0,59,14.5,16.2,99,99,99,999,1016.2,21.4,25.1,999,99,99
122,2016,1,6,12,0,60,13.7,14.9,99,99,99,999,1016.5,21.2,25,999,99,99
123,2016,1,6,13,0,68,14.8,16.9,99,99,99,999,1016.8,20.6,24.6,999,99,99
124,2016,1,6,14,0,54,14.3,15.5,99,99,99,999,1017.2,21.9,24.6,999,99,99
125,2016,1,6,15,0,56,12.3,15,99,99,99,999,1018.2,22.4,24.3,999,99,99
126,2016,1,6,16,0,60,15.6,16.9,99,99,99,999,1017.2,21.1,24.3,999,99,99
127,2016,1,6,17,0,40,12.2,14.4,99,99,99,999,1016.5,21.1,24.5,999,99,99
128,2016,1,6,18,0,65,14.7,16.2,99,99,99,999,1015.8,22.4,25.4,999,99,99
129,2016,1,6,19,0,71,11.7,14.4,99,99,99,999,1014.9,22.5,25.6,999,99,99
130,2016,1,6,20,0,61,11.6,13.7,99,99,99,999,1014.5,22.6,25.6,999,99,99
131,2016,1,6,21,0,63,11.6,13.3,99,99,99,999,1014.1,22.6,25.7,999,99,99
132,2016,1,6,22,0,57,9.1,10.3,99,99,99,999,1014.5,22.6,25.3,999,99,99
133,2016,1,6,23,0,57,9,9.8,99,99,99,999,1015,22.7,25.1,999,99,99
134,2016,1,7,0,0,53,7.9,8.9,99,99,99,999,1015.4,22.7,25.4,999,99,99
135,2016,1,7,1,0,52,5.9,6.9,99,99,99,999,1015.9,22.8,25.2,999,99,99
136,2016,1,7,2,0,40,6.1,6.6,99,99,99,999,1015.9,22.9,25,999,99,99
137,2016,1,7,3,0,340,4.6,5,99,99,99,999,1016,20.9,24.5,999,99,99
138,2016,1,7,4,0,342,4.7,4.9,99,99,99,999,1015.8,20.6,24.7,999,99,99
139,2016,1,7,5,0,329,6.5,7.1,99,99,99,999,1016,20.1,25.4,999,99,99
140,2016,1,7,6,0,337,8.6,9.2,99,99,99,999,1015.6,19.4,25.5,999,99,99
141,2016,1,7,7,0,340,8.2,9.1,99,99,99,999,1015.3,19.2,25.6,999,99,99
142,2016,1,7,8,0,345,6.8,7.3,99,99,99,999,1014.7,18.8,25.6,999,99,99
143,2016,1,7,9,0,353,6.2,6.6,99,99,99,999,1014.1,18.7,25.6,999,99,99
